GO_term,Descrip,DECount,Expect,N,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0005975,carbohydrate metabolic process,26,6.373768037593047,1196,26/1196,26/131,1170/24047,1.1302686368423544e-9,6.894638684738362e-7,3.2050436215788656e-7,Down,3,3,FALSE,BP,gad1CS
GO:0071554,cell wall organization or biogenesis,20,3.688069197820934,697,20/697,20/131,677/24047,1.1851387716220987e-9,7.229346506894802e-7,3.2050436215788656e-7,Down,2,2,FALSE,BP,gad1CS
GO:0005976,polysaccharide metabolic process,17,2.5985361999417806,494,17/494,17/131,477/24047,1.5762509614322288e-9,9.615130864736596e-7,3.2050436215788656e-7,Down,4,4,FALSE,BP,gad1CS
GO:0009734,auxin-activated signaling pathway,11,1.1603526427412982,224,11/224,11/131,213/24047,4.045315546637256e-8,2.4676424834487263e-5,6.169106208621816e-6,Down,4,7,FALSE,BP,gad1CS
GO:0071365,cellular response to auxin stimulus,11,1.2529629475610262,241,11/241,11/131,230/24047,8.520412250662554e-8,5.1974514729041576e-5,1.0394902945808315e-5,Down,5,6,FALSE,BP,gad1CS
GO:0071555,cell wall organization,15,2.8382334594751946,536,15/536,15/131,521/24047,2.2764073259746554e-7,1.3886084688445398e-4,2.314347448074233e-5,Down,3,5,FALSE,BP,gad1CS
GO:0009733,response to auxin,13,2.189961325737098,415,13/415,13/131,402/24047,4.3311123817495586e-7,2.641978552867231e-4,3.774255075524615e-5,Down,4,5,FALSE,BP,gad1CS
GO:0044262,cellular carbohydrate metabolic process,14,2.66390817981453,503,14/503,14/131,489/24047,6.3012904159686e-7,3.8437871537408457e-4,4.370626728668779e-5,Down,3,4,FALSE,BP,gad1CS
GO:0045229,external encapsulating structure organization,15,3.0888260489873995,582,15/582,15/131,567/24047,6.448465665249019e-7,3.933564055801901e-4,4.370626728668779e-5,Down,4,4,FALSE,BP,gad1CS
GO:0040007,growth,16,3.7752318376512664,709,16/709,16/131,693/24047,1.5263749410975788e-6,9.310887140695231e-4,9.176093639482887e-5,Down,1,1,FALSE,BP,gad1CS
GO:0044264,cellular polysaccharide metabolic process,11,1.7105668066702706,325,11/325,11/131,314/24047,1.6547054103985533e-6,0.0010093703003431174,9.176093639482887e-5,Down,4,5,FALSE,BP,gad1CS
GO:0034756,regulation of iron ion transport,3,0.027238324946978833,8,3/8,3/131,5/24047,8.533928680417636e-6,0.005205696495054758,3.991806518548717e-4,Down,6,9,FALSE,BP,gad1CS
GO:0006073,cellular glucan metabolic process,9,1.307439597454984,249,9/249,9/131,240/24047,8.950931758980063e-6,0.005460068372977839,3.991806518548717e-4,Down,5,6,FALSE,BP,gad1CS
GO:0000272,polysaccharide catabolic process,8,0.9860273630806338,189,8/189,8/131,181/24047,9.161523157324925e-6,0.005588529125968204,3.991806518548717e-4,Down,5,5,FALSE,BP,gad1CS
GO:0044042,glucan metabolic process,9,1.3401255873913587,255,9/255,9/131,246/24047,1.082981573043689e-5,0.006606187595566504,4.4008188081769e-4,Down,5,5,FALSE,BP,gad1CS
GO:0016757,"transferase activity, transferring glycosyl groups",14,3.4483719382875204,647,14/647,14/131,633/24047,1.1543131300136131e-5,0.00704131009308304,4.4008188081769e-4,Down,3,3,FALSE,MF,gad1CS
GO:0030570,pectate lyase activity,4,0.12529629475610263,27,4/27,4/131,23/24047,1.3113361080077569e-5,0.007999150258847317,4.705382505204304e-4,Down,5,5,TRUE,MF,gad1CS
GO:0042546,cell wall biogenesis,9,1.400049902274712,266,9/266,9/131,257/24047,1.5156831692289191e-5,0.009245667332296406,5.136481851275781e-4,Down,3,4,FALSE,BP,gad1CS
GO:0016998,cell wall macromolecule catabolic process,4,0.15798228469247724,33,4/33,4/131,29/24047,2.981522403649599e-5,0.018187286662262554,9.572256138032924e-4,Down,4,6,FALSE,BP,gad1CS
GO:0016758,"transferase activity, transferring hexosyl groups",10,1.9393687362248928,366,10/366,10/131,356/24047,3.18248180505679e-5,0.019413139010846417,9.706569505423208e-4,Down,4,4,FALSE,MF,gad1CS
GO:0016837,"carbon-oxygen lyase activity, acting on polysaccharides",4,0.163429949681873,34,4/34,4/131,30/24047,3.364916337887764e-5,0.020525989661115362,9.774280791007314e-4,Down,4,4,FALSE,MF,gad1CS
GO:0040008,regulation of growth,10,1.9720547261612675,372,10/372,10/131,362/24047,3.650897543675827e-5,0.022270475016422545,9.809081884226284e-4,Down,2,3,FALSE,BP,gad1CS
