GO_term,Descrip,DECount,Expect,N,DEGsRatio,GeneRatio,BgRatio,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0042221,response to chemical,111,50.003026863412785,3153,111/3153,111/391,3042/23787,5.517839260459587e-16,6.384140024351743e-13,6.384140024351743e-13,Up,2,2,FALSE,BP,gad1CS
GO:0006950,response to stress,121,62.24900155547147,3908,121/3908,121/391,3787/23787,2.2533915636742988e-13,2.607174039171164e-10,9.947802354587623e-11,Up,2,2,FALSE,BP,gad1CS
GO:1901700,response to oxygen-containing compound,70,26.645268423929036,1691,70/1691,70/391,1621/23787,2.9068403053895005e-13,3.363214233335652e-10,9.947802354587623e-11,Up,3,3,FALSE,BP,gad1CS
GO:0010035,response to inorganic substance,50,14.991045529070501,962,50/962,50/391,912/23787,3.4391710819663347e-13,3.979120941835049e-10,9.947802354587623e-11,Up,3,3,FALSE,BP,gad1CS
GO:0050896,response to stimulus,165,103.24425106150419,6446,165/6446,165/391,6281/23787,2.1228165857762244e-11,2.4560987897430914e-8,4.9121975794861836e-9,Up,1,1,FALSE,BP,gad1CS
GO:0009415,response to water,29,6.279144070290495,411,29/411,29/391,382/23787,3.8277480184047475e-11,4.428704457294293e-8,6.3267206532775605e-9,Up,3,4,FALSE,BP,gad1CS
GO:0001101,response to acid chemical,30,6.772270567957287,442,30/442,30/391,412/23787,4.536740426928573e-11,5.249008673956359e-8,6.561260842445448e-9,Up,3,3,FALSE,BP,gad1CS
GO:0009414,response to water deprivation,28,6.147643670912683,402,28/402,28/391,374/23787,1.1340887729316681e-10,1.31214071028194e-7,1.4579341225354888e-8,Up,3,5,FALSE,BP,gad1CS
GO:0036293,response to decreased oxygen levels,22,4.060074830789928,269,22/269,22/391,247/23787,5.960403318268598e-10,6.896186639236768e-7,6.725514602583615e-8,Up,4,4,FALSE,BP,gad1CS
GO:0070482,response to oxygen levels,22,4.0765123807121535,270,22/270,22/391,248/23787,6.394179829595485e-10,7.398066062841976e-7,6.725514602583615e-8,Up,3,3,FALSE,BP,gad1CS
GO:0009628,response to abiotic stimulus,75,35.159919283642324,2214,75/2214,75/391,2139/23787,7.752144159110817e-10,8.969230792091215e-7,7.474358993409347e-8,Up,2,2,FALSE,BP,gad1CS
GO:0001666,response to hypoxia,21,4.010762181023248,265,21/265,21/391,244/23787,2.5997612156670987e-9,3.0079237265268332e-6,2.182127226658015e-7,Up,3,5,FALSE,BP,gad1CS
GO:0036294,cellular response to decreased oxygen levels,20,3.6326985328120402,241,20/241,20/391,221/23787,2.8290327052610392e-9,3.2731908399870223e-6,2.182127226658015e-7,Up,5,5,FALSE,BP,gad1CS
GO:0071453,cellular response to oxygen levels,20,3.6326985328120402,241,20/241,20/391,221/23787,2.8290327052610392e-9,3.2731908399870223e-6,2.182127226658015e-7,Up,4,4,FALSE,BP,gad1CS
GO:0010150,leaf senescence,15,2.1040063900449826,143,15/143,15/391,128/23787,1.2098307439790727e-8,1.399774170783787e-5,8.748588567398669e-7,Up,4,8,FALSE,BP,gad1CS
GO:0071456,cellular response to hypoxia,19,3.6162609828898136,239,19/239,19/391,220/23787,1.4262676635467415e-8,1.65019168672358e-5,9.378374619902834e-7,Up,4,6,FALSE,BP,gad1CS
GO:0016054,organic acid catabolic process,16,2.4820700382561904,167,16/167,16/391,151/23787,1.4590384024049353e-8,1.6881074315825103e-5,9.378374619902834e-7,Up,4,4,FALSE,BP,gad1CS
GO:0007568,aging,16,2.4985075881784167,168,16/168,16/391,152/23787,1.589134469339519e-8,1.8386285810258235e-5,9.67699253171486e-7,Up,2,2,FALSE,BP,gad1CS
GO:0033993,response to lipid,41,15.204733678059444,966,41/966,41/391,925/23787,2.028720467069385e-8,2.3472295803992786e-5,1.1673215484082333e-6,Up,4,4,FALSE,BP,gad1CS
GO:0090693,plant organ senescence,15,2.2026316895783413,149,15/149,15/391,134/23787,2.1187340118040535e-8,2.45137525165729e-5,1.1673215484082333e-6,Up,3,6,FALSE,BP,gad1CS
GO:0009611,response to wounding,18,3.353260184134191,222,18/222,18/391,204/23787,2.5340757394396467e-8,2.9319256305316714e-5,1.332693468423487e-6,Up,3,3,FALSE,BP,gad1CS
GO:0046395,carboxylic acid catabolic process,15,2.2848194391894734,154,15/154,15/391,139/23787,3.310682769894908e-8,3.830459964768409e-5,1.6654173759862646e-6,Up,5,6,FALSE,BP,gad1CS
GO:0010033,response to organic substance,67,32.80934964476395,2063,67/2063,67/391,1996/23787,4.044700367270488e-8,4.679718324931955e-5,1.9498826353883146e-6,Up,3,3,FALSE,BP,gad1CS
GO:0006082,organic acid metabolic process,47,19.41274645814941,1228,47/1228,47/391,1181/23787,6.818382844971917e-8,7.888868951632508e-5,3.155547580653003e-6,Up,3,3,FALSE,BP,gad1CS
GO:0009725,response to hormone,55,25.280951780384243,1593,55/1593,55/391,1538/23787,9.385714866155947e-8,1.085927210014243e-4,4.176643115439396e-6,Up,3,4,FALSE,BP,gad1CS
GO:0009719,response to endogenous stimulus,56,25.774078278051036,1624,56/1624,56/391,1568/23787,1.0613846123215932e-7,1.2280219964560832e-4,4.548229616504012e-6,Up,2,2,FALSE,BP,gad1CS
GO:0043436,oxoacid metabolic process,45,18.640181611804767,1179,45/1179,45/391,1134/23787,1.4898345744272032e-7,1.723738602612274e-4,6.156209295043836e-6,Up,4,4,FALSE,BP,gad1CS
GO:1900057,positive regulation of leaf senescence,6,0.1972505990667171,18,6/18,6/391,12/23787,2.711452722386332e-7,3.137150799800986e-4,1.081776137862409e-5,Up,4,10,TRUE,BP,gad1CS
